State,American Indian and Alaska Native alone,Asian alone,Black or African American alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Total Population,Two or more races,White alone
Alabama,23265,66129,1319551,1892,74451,4903185,91522,3326375
Alaska,115544,43678,22551,9923,12602,731545,57476,469771
Arizona,332273,241721,343729,14168,364442,7278717,280574,5701810
Arkansas,17216,46078,467468,12829,75590,3017804,83603,2315020
California,321112,5865435,2282144,155871,5424558,39512223,1978145,23484958
Colorado,57578,188461,240538,7756,209081,5758736,232943,4822379
Connecticut,9052,166393,396745,1155,200646,3565287,131068,2660228
Delaware,4353,36592,219418,428,23087,973764,30167,659719
District of Columbia,1886,28722,320704,190,30868,705749,23321,300058
Florida,59558,599799,3441062,16162,719525,21477737,631552,16010079
Georgia,42316,439416,3390968,6947,321656,10617423,284421,6131699
Hawaii,6129,547843,26923,152601,24697,1415872,316468,341211
Idaho,22867,25969,12708,2475,67428,1787065,58700,1596918
Illinois,32600,717992,1790212,4511,730514,12671821,351933,9044059
Indiana,18416,170566,643105,3254,150696,6732219,174283,5571899
Iowa,11837,76134,129335,2029,31951,3155070,68248,2835536
Kansas,23860,87018,167237,2453,87073,2913314,108771,2436902
Kentucky,8326,73087,363167,4212,41032,4467673,104158,3873691
Louisiana,28561,81506,1504017,971,65888,4648794,93067,2874784
Maine,9419,15323,21983,222,5442,1344212,28536,1263287
Maryland,19164,386194,1830059,2453,305343,6045680,205558,3296909
Massachusetts,17875,472895,543629,2998,299262,6892503,250459,5305385
Michigan,57785,327230,1371069,2078,114190,9986857,302340,7812165
Minnesota,57414,285630,370291,2753,109373,5639632,186583,4627588
Mississippi,14634,31154,1130608,175,28944,2976149,43664,1726970
Missouri,25516,127154,703058,10214,76294,6137428,172253,5022939
Montana,67603,8927,7787,224,7297,1068778,36517,940423
Nebraska,18964,47740,94659,1850,51049,1934408,53383,1666763
Nevada,42426,261159,296184,22587,324476,3080156,144208,1989116
New Hampshire,1727,35807,22000,713,10683,1359711,30205,1258576
New Jersey,18440,856561,1203843,3254,571368,8882190,264429,5964295
New Mexico,199341,36549,48337,924,189281,2096829,72444,1549953
New York,73560,1680219,3084304,8277,1664223,19453561,649298,12293680
North Carolina,126708,309905,2253481,6878,351465,10488084,295137,7144510
North Dakota,40970,10669,22256,2792,6320,762062,25145,653910
Ohio,23544,274585,1467331,5274,122375,11689100,343341,9452650
Oklahoma,316929,89950,287414,4808,91920,3956971,300165,2865785
Oregon,50417,194068,77918,14182,149974,4217737,207325,3523853
Pennsylvania,27088,453662,1454753,4148,335838,12801989,332708,10193792
Rhode Island,3341,37101,78143,250,62236,1059361,44600,833690
South Carolina,18971,86571,1362917,7572,112685,5148714,125531,3434467
South Dakota,75809,11530,20866,2073,5919,884659,24698,743764
Tennessee,20431,125742,1141304,3469,109072,6829174,156246,5272910
Texas,144993,1446073,3553922,27026,1714614,28995881,835927,21273326
Utah,35368,76470,36918,30725,123376,3205958,103574,2799527
Vermont,2928,8603,9435,386,2153,623989,15367,585117
Virginia,23388,565643,1659908,5039,246663,8535519,320232,5714646
Washington,103882,684967,305924,50139,365395,7614893,453495,5651091
West Virginia,3601,14311,65925,399,7657,1792147,32250,1668004
Wisconsin,54577,167420,374747,4220,121082,5822434,137034,4963354
Wyoming,13774,4633,7116,754,10799,578759,15823,525860
