confirmed,deaths,American_Indian_and_Alaska_Native_alone,Asian_alone,Black_or_African_American_alone,Native_Hawaiian_and_Other_Pacific_Islander_alone,Some_other_race_alone,Two_or_more_races,White_alone,HouseholdIncome,Latitude,Longitude
436087,6486,23265,66129,1319551,1892,74451,91522,3326375,50536,32.6010112,-86.6807365
52926,254,115544,43678,22551,9923,12602,57476,469771,77640,61.3025006,-158.7750198
708041,12001,332273,241721,343729,14168,364442,280574,5701810,58945,34.1682185,-111.930907
281382,4549,17216,46078,467468,12829,75590,83603,2315020,47597,34.7519275,-92.1313784
3147207,36615,321112,5865435,2282144,155871,5424558,1978145,23484958,75235,37.2718745,-119.2704153
383008,5462,57578,188461,240538,7756,209081,232943,4822379,72331,38.9979339,-105.550567
237815,6819,9052,166393,396745,1155,200646,131068,2660228,78444,41.5187835,-72.757507
73233,1252,4353,36592,219418,428,23087,30167,659719,68287,39.145251,-75.4189206
34905,867,1886,28722,320704,190,30868,23321,300058,92266,38.8993487,-77.0145666
1627603,25011,59558,599799,3441062,16162,719525,631552,16010079,55660,27.9757279,-83.8330166
853173,13060,42316,439416,3390968,6947,321656,284421,6131699,58700,32.6781248,-83.2229757
25658,332,6129,547843,26923,152601,24697,316468,341211,81275,20.46,-157.505
158798,1667,22867,25969,12708,2475,67428,58700,1596918,55785,45.4945756,-114.1424303
1093375,20534,32600,717992,1790212,4511,730514,351933,9044059,65886,39.739318,-89.504139
605426,10903,18416,170566,643105,3254,150696,174283,5571899,56303,39.7662195,-86.441277
311695,4478,11837,76134,129335,2029,31951,68248,2835536,60523,41.9383166,-93.389798
268908,3587,23860,87018,167237,2453,87073,108771,2436902,59597,38.4987789,-98.3200779
340778,3337,8326,73087,363167,4212,41032,104158,3873691,50589,37.8222935,-85.7682399
380255,8483,28561,81506,1504017,971,65888,93067,2874784,49469,30.9733766,-91.4299097
36274,540,9419,15323,21983,222,5442,28536,1263287,57918,45.2185133,-69.0148656
336915,6792,19164,386194,1830059,2453,305343,205558,3296909,84805,38.8063524,-77.2684162
491452,13987,17875,472895,543629,2998,299262,250459,5305385,81215,42.0629398,-71.718067
594920,14951,57785,327230,1371069,2078,114190,302340,7812165,57144,44.9435598,-86.4158049
452268,6100,57414,285630,370291,2753,109373,186583,4627588,71306,46.4418595,-93.3655146
261167,5713,14634,31154,1130608,175,28944,43664,1726970,45081,32.5851062,-89.8772196
514216,6823,25516,127154,703058,10214,76294,172253,5022939,55461,38.3046615,-92.437099
91049,1104,67603,8927,7787,224,7297,36517,940423,54970,46.6797995,-110.044783
186255,1878,18964,47740,94659,1850,51049,53383,1666763,61439,41.5008195,-99.680902
268212,3958,42426,261159,296184,22587,324476,144208,1989116,60365,38.502032,-117.0230604
61206,971,1727,35807,22000,713,10683,30205,1258576,76768,44.0012306,-71.5799231
650389,20875,18440,856561,1203843,3254,571368,264429,5964295,82545,40.1430058,-74.7311156
167731,3077,199341,36549,48337,924,189281,72444,1549953,49754,34.1662325,-106.0260685
1309403,41974,73560,1680219,3084304,8277,1664223,649298,12293680,68486,40.7056258,-73.97968
705535,8464,126708,309905,2253481,6878,351465,295137,7144510,54602,35.2145629,-79.8912675
96565,1428,40970,10669,22256,2792,6320,25145,653910,64894,47.4678819,-100.3022655
853982,16353,23544,274585,1467331,5274,122375,343341,9452650,56602,40.1903624,-82.6692525
366576,3187,316929,89950,287414,4808,91920,300165,2865785,52919,35.3097654,-98.7165585
136839,1865,50417,194068,77918,14182,149974,207325,3523853,62818,44.1419049,-120.5380993
798438,20269,27088,453662,1454753,4148,335838,332708,10193792,61744,40.9945928,-77.6046984
109735,2248,3341,37101,78143,250,62236,44600,833690,67167,41.5827282,-71.5064508
409188,6404,18971,86571,1362917,7572,112685,125531,3434467,53199,33.62505,-80.9470381
106716,1684,75809,11530,20866,2073,5919,24698,743764,58275,44.2126995,-100.2471641
701847,8777,20431,125742,1141304,3469,109072,156246,5272910,53320,35.830521,-85.9785989
2227789,34381,144993,1446073,3553922,27026,1714614,835927,21273326,61874,31.1693363,-100.0768425
333118,1571,35368,76470,36918,30725,123376,103574,2799527,71621,39.4997605,-111.547028
10759,169,2928,8603,9435,386,2153,15367,585117,61973,43.8717545,-72.4477828
463751,6002,23388,565643,1659908,5039,246663,320232,5714646,74222,38.0033855,-79.4587861
298249,4114,103882,684967,305924,50139,365395,453495,5651091,73775,38.8993487,-77.0145665
113615,1856,3601,14311,65925,399,7657,32250,1668004,46711,38.9201705,-80.1816905
577991,6135,54577,167420,374747,4220,121082,137034,4963354,61747,44.7862968,-89.8267049
50583,571,13774,4633,7116,754,10799,15823,525860,64049,43.000325,-107.5545669
